channel,artifact,strength,why,vantage
API calls,Event Trace Logs,strong,ETW is the native record of API/stack traces named by the channel.,host
API calls,Sysmon Event Log,moderate,"Sysmon records some API-visible actions (process, image load, network) but not arbitrary API names.",host
API tracing / stack tracing via ETW or telemetry-based EDR,Elastic Defend,strong,EDR telemetry of the same class as the channel (API/behavior traces).,host
API tracing / stack tracing via ETW or telemetry-based EDR,Event Trace Logs,strong,ETW/stack traces are this channel.,host
API tracing / stack tracing via ETW or telemetry-based EDR,Sysmon Event Log,moderate,"Host telemetry that overlaps some traced behaviors, not full stacks.",host
"Abnormal sign-in from scripting tools (PowerShell, AADInternals)",PowerShell Console Log,moderate,"Console history of the same session, less complete than 4104/transcripts.",host
"Abnormal sign-in from scripting tools (PowerShell, AADInternals)",PowerShell Event Log,strong,Scripting tool execution and cmdlets used to authenticate.,host
"Abnormal sign-in from scripting tools (PowerShell, AADInternals)",PowerShell Transcripts,strong,Full script content including AADInternals/auth calls.,host
"Abnormal sign-in from scripting tools (PowerShell, AADInternals)",Security Event Log,strong,Logon events (4624/4625/4648) record the sign-in.,host
Accessed SharePoint files or pages,Chrome History / Downloads / Cookies,moderate,Browser visit/download of SharePoint URLs when access was via Chrome.,host
Accessed SharePoint files or pages,Edge History / Downloads / Cookies,moderate,Same as Chrome when Edge was the client.,host
Accessed SharePoint files or pages,OneDrive,strong,SharePoint/OneDrive client leaves sync and access metadata for those files.,host
Advanced Hunting: DeviceProcessEvents + DeviceNetworkEvents,CrowdStrike Falcon,strong,Same process+network endpoint telemetry class.,host
Advanced Hunting: DeviceProcessEvents + DeviceNetworkEvents,Elastic Defend,strong,Same process+network endpoint telemetry class.,host
Advanced Hunting: DeviceProcessEvents + DeviceNetworkEvents,Security Event Log,moderate,4688 covers process create; network is incomplete without 5156 or Sysmon.,host
Advanced Hunting: DeviceProcessEvents + DeviceNetworkEvents,Sysmon Event Log,strong,Process create plus network connect is the host equivalent of those two MDE tables.,host
Advanced Hunting: DeviceProcessEvents + DeviceNetworkEvents,PCAP / PCAPNG,moderate,Full packets if you need payload behind those network events.,network
Advanced Hunting: DeviceProcessEvents + DeviceNetworkEvents,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,Sensor session record matching DeviceNetworkEvents 5-tuple.,network
Advanced Hunting: DeviceProcessEvents + DeviceNetworkEvents,"dns.log (DNS queries and responses, passive DNS from the wire)",moderate,Wire DNS for the same host that MDE would log as network.,network
Amsi/Script content + API verdicts during in-memory staging,PowerShell Event Log,strong,Script block / AMSI-related PowerShell events hold script content.,host
Amsi/Script content + API verdicts during in-memory staging,PowerShell Transcripts,strong,Full in-memory staging commands if transcribed.,host
Amsi/Script content + API verdicts during in-memory staging,Windows Defender,strong,Defender product artifacts include AMSI/scan verdicts.,host
Amsi/Script content + API verdicts during in-memory staging,Windows Defender Event Log,strong,AMSI and Defender verdicts land here.,host
Anomalous logon without MFA enforcement,Security Event Log,moderate,"Records the logon. MFA enforcement itself is often IdP/cloud, not this log.",host
App reputation telemetry,Amcache.hve,moderate,Shows binaries present/executed that reputation would score; not the verdict.,host
App reputation telemetry,Windows Defender,strong,Defender product telemetry for reputation.,host
App reputation telemetry,Windows Defender Event Log,strong,SmartScreen/reputation decisions are Defender events.,host
AssemblyLoad/ModuleLoad (Loader keyword) from Microsoft-Windows-DotNETRuntime,Amcache.hve,moderate,"On-disk assembly that was loaded, not the ETW load event.",host
AssemblyLoad/ModuleLoad (Loader keyword) from Microsoft-Windows-DotNETRuntime,Event Trace Logs,strong,DotNETRuntime ETW loader keyword is this channel.,host
Behavioral rule for registry enumeration under credential-related paths,NTUSER.DAT,moderate,User hive credential-adjacent keys after the fact.,host
Behavioral rule for registry enumeration under credential-related paths,SOFTWARE hive,moderate,"Hive contents after the fact, not the enumeration event.",host
Behavioral rule for registry enumeration under credential-related paths,Security Event Log,strong,4656/4663/4657 can record access/changes to those keys if audited.,host
Behavioral rule for registry enumeration under credential-related paths,Sysmon Event Log,strong,Event 12/13 registry events on those paths.,host
"Browser or plugin/application logs showing script errors, plugin enumerations, or unusual extension load events",Brave,strong,Chromium profile for Brave.,host
"Browser or plugin/application logs showing script errors, plugin enumerations, or unusual extension load events",Chrome History / Downloads / Cookies,strong,"Chrome profile stores extensions, history, and related logs.",host
"Browser or plugin/application logs showing script errors, plugin enumerations, or unusual extension load events",Edge History / Downloads / Cookies,strong,Edge profile equivalent.,host
"Browser or plugin/application logs showing script errors, plugin enumerations, or unusual extension load events",Firefox History / Downloads / Cookies,strong,Firefox profile equivalent.,host
"Browser or plugin/application logs showing script errors, plugin enumerations, or unusual extension load events",Internet Explorer History,moderate,IE/Trident history; extension model is thinner.,host
"Browser or plugin/application logs showing script errors, plugin enumerations, or unusual extension load events",Opera,strong,Chromium profile for Opera.,host
"Browser or plugin/application logs showing script errors, plugin enumerations, or unusual extension load events",Other Chromium-based browsers collected by the browser targets,strong,Same class of browser profile artifacts.,host
"Browser or plugin/application logs showing script errors, plugin enumerations, or unusual extension load events",Vivaldi,strong,Chromium profile for Vivaldi.,host
CLSID activation events where ProcessName=mmc.exe and CLSID not in allowed baseline,Amcache.hve,strong,Execution/presence of mmc and loaded COM servers.,host
CLSID activation events where ProcessName=mmc.exe and CLSID not in allowed baseline,Prefetch,strong,Shows mmc.exe execution and referenced files.,host
CLSID activation events where ProcessName=mmc.exe and CLSID not in allowed baseline,SOFTWARE hive,strong,CLSID registration lives in SOFTWARE.,host
CLSID activation events where ProcessName=mmc.exe and CLSID not in allowed baseline,UserAssist,moderate,"User-launched mmc.exe evidence, not the CLSID.",host
Cmdlet - New-InboxRule,PowerShell Console Log,moderate,Console history may show the cmdlet.,host
Cmdlet - New-InboxRule,PowerShell Event Log,strong,4104/4103 record New-InboxRule.,host
Cmdlet - New-InboxRule,PowerShell Transcripts,strong,Transcript of the cmdlet and parameters.,host
CodeIntegrity/WDAC events indicating unsigned/invalid DLL loads,Amcache.hve,moderate,"The unsigned DLL on disk, not the CI verdict.",host
CodeIntegrity/WDAC events indicating unsigned/invalid DLL loads,Application Event Log,moderate,Some CodeIntegrity events also write here.,host
CodeIntegrity/WDAC events indicating unsigned/invalid DLL loads,Windows Defender,strong,WDAC/CI is Defender/CI stack.,host
CodeIntegrity/WDAC events indicating unsigned/invalid DLL loads,Windows Defender Event Log,strong,CI/WDAC operational events.,host
Command Line Telemetry,PowerShell Event Log,strong,PowerShell command lines in 4103/4104.,host
Command Line Telemetry,Security Event Log,strong,4688 includes command line if process auditing + command line is on.,host
Command Line Telemetry,Sysmon Event Log,strong,Event 1 includes CommandLine.,host
CommandLine=copy-item or robocopy from UNC path,$MFT,moderate,Destination file created on disk.,host
CommandLine=copy-item or robocopy from UNC path,PowerShell Event Log,strong,Copy-Item is a PowerShell cmdlet; 4104 records it.,host
CommandLine=copy-item or robocopy from UNC path,PowerShell Transcripts,strong,Full Copy-Item/UNC arguments.,host
CommandLine=copy-item or robocopy from UNC path,Prefetch,moderate,robocopy.exe / powershell.exe execution.,host
CommandLine=copy-item or robocopy from UNC path,Security Event Log,strong,4688 command line plus 5140/5145 for the UNC share.,host
CommandLine=copy-item or robocopy from UNC path,USN Journal ($J),moderate,Create/write USN reasons for the copied file.,host
CommandLine=copy-item or robocopy from UNC path,PCAP / PCAPNG,moderate,Payload of the file copy if needed.,network
CommandLine=copy-item or robocopy from UNC path,"conn.log (TCP/UDP/ICMP connections, NetFlow-like view of traffic)",moderate,Session to 445/139.,network
CommandLine=copy-item or robocopy from UNC path,smb_cmd.log (SMB commands),moderate,SMB commands used for the copy.,network
CommandLine=copy-item or robocopy from UNC path,smb_files.log (SMB file access),strong,SMB file copy on the wire.,network
CommandLine=copy-item or robocopy from UNC path,smb_mapping.log (share / tree connects),strong,Tree connect to the UNC share.,network
"Creation or modification of __EventFilter, __FilterToConsumerBinding, or CommandLineEventConsumer",Sysmon Event Log,strong,Event 19/20/21 WMI activity.,host
"Creation or modification of __EventFilter, __FilterToConsumerBinding, or CommandLineEventConsumer",WMI Repository (WBEM),strong,Those objects are stored in the WMI repository.,host
Device Object Creation,SYSTEM hive,moderate,CurrentControlSet Enum/services reflect devices after creation.,host
Device Object Creation,Sysmon Event Log,strong,Sysmon records device-related / driver object activity in relevant events.,host
"Enrollment events (e.g., MDMDeviceRegistration)",Group Policy,moderate,MDM/GPO overlap for device config.,host
"Enrollment events (e.g., MDMDeviceRegistration)",SOFTWARE hive,strong,Enrollment/MDM state is in SOFTWARE.,host
"Enrollment events (e.g., MDMDeviceRegistration)",System Event Log,moderate,DeviceManagement-Enterprise-Diagnostics and related system events.,host
Enumerate Winlogon subkeys for unknown or unsigned binaries,Amcache.hve,moderate,Unknown/unsigned binaries referenced by those values.,host
Enumerate Winlogon subkeys for unknown or unsigned binaries,SOFTWARE hive,strong,Winlogon keys are in SOFTWARE.,host
Enumerate Winlogon subkeys for unknown or unsigned binaries,Security Event Log,moderate,Registry audit events if those keys are audited.,host
Enumerate Winlogon subkeys for unknown or unsigned binaries,Sysmon Event Log,strong,Registry query/set events on Winlogon paths.,host
EventCode=1,Amcache.hve,moderate,Corroborates execution/presence of that image.,host
EventCode=1,BAM / DAM,moderate,Background/desktop activity execution evidence.,host
EventCode=1,Prefetch,moderate,Corroborates execution of that image.,host
EventCode=1,Security Event Log,moderate,4688 is the same question in Security.,host
EventCode=1,Shimcache (AppCompatCache),moderate,Evidence the OS saw the binary.,host
EventCode=1,Sysmon Event Log,strong,Event 1 is process create in Sysmon.,host
EventCode=1,UserAssist,moderate,GUI-launched execution only.,host
EventCode=10,Sysmon Event Log,strong,Event 10 is process access in Sysmon.,host
EventCode=1000,Application Event Log,strong,1000 is application error in Application log.,host
EventCode=1000,WER,strong,Windows Error Reporting pairs with 1000 crashes.,host
EventCode=1006,Application Event Log,strong,1006-class application errors live here.,host
EventCode=1006,WER,moderate,May have a companion crash report.,host
EventCode=106,Scheduled Tasks,strong,On-disk task XML/registration.,host
EventCode=106,Task Scheduler Event Log,strong,106 is task registration in Task Scheduler Operational.,host
"EventCode=106, 200",Scheduled Tasks,strong,On-disk task definition that fired.,host
"EventCode=106, 200",Task Scheduler Event Log,strong,106 registration and 200 task executed.,host
EventCode=1074,System Event Log,strong,"1074 is shutdown/restart initiated, System log.",host
EventCode=11,$MFT,strong,New file record.,host
EventCode=11,Sysmon Event Log,strong,Event 11 is file create.,host
EventCode=11,USN Journal ($J),strong,File create USN reason.,host
EventCode=1102,Security Event Log,strong,1102 is Security log cleared.,host
EventCode=12,NTUSER.DAT,moderate,Resulting key in NTUSER.,host
EventCode=12,Run / RunOnce,moderate,If the key was a Run key.,host
EventCode=12,SOFTWARE hive,moderate,Resulting key in SOFTWARE.,host
EventCode=12,SYSTEM hive,moderate,Resulting key in SYSTEM.,host
EventCode=12,Sysmon Event Log,strong,Event 12 registry object create/delete.,host
"EventCode=13, 14",NTUSER.DAT,moderate,Resulting value.,host
"EventCode=13, 14",Run / RunOnce,moderate,If persistence Run keys were changed.,host
"EventCode=13, 14",SOFTWARE hive,moderate,Resulting value.,host
"EventCode=13, 14",SYSTEM hive,moderate,Resulting value.,host
"EventCode=13, 14",Sysmon Event Log,strong,"13 value set, 14 key/value rename.",host
EventCode=15,$MFT,strong,ADS is an MFT attribute.,host
EventCode=15,Sysmon Event Log,strong,Event 15 file create stream hash (ADS).,host
"EventCode=1502, 1503",Group Policy,strong,1502/1503 are Group Policy processing events.,host
EventCode=17,Sysmon Event Log,strong,Event 17 pipe created.,host
EventCode=2,$MFT,strong,SI/FN timestamps.,host
EventCode=2,Sysmon Event Log,strong,Event 2 file creation time change.,host
EventCode=2,USN Journal ($J),strong,Basic info change / timestamp USN.,host
EventCode=2003,Task Scheduler Event Log,moderate,Task Scheduler also uses 2003 in some operational views.,host
EventCode=2003,Windows Firewall Log,moderate,Firewall-with-Advanced-Security uses 2003-class events depending on channel.,host
"EventCode=2004, 2005, 2006",SYSTEM hive,strong,Firewall policy is stored under SYSTEM.,host
"EventCode=2004, 2005, 2006",Windows Firewall Log,strong,2004/2005/2006 are firewall rule add/change/delete.,host
